lake_id,system:time_start,date,system:index,ST,ST_max,ST_min,ST_stddev,ST_count,QA_PIXEL
6,1.111760483103E12,2005-03-25,1_1_2_LE07_004016_20050325,-6.766289954229768,[0.7832902767199812],[-13.704855670359962],[2.208776326469835],[45546],13021.299545762815
6,1.114525275729E12,2005-04-26,1_1_2_LE07_004016_20050426,1.1407073030787425,[14.792079426920054],[-2.999220540039971],[0.6725170505116662],[64000],13520.883873301456
6,1.128349245972E12,2005-10-03,1_1_2_LE07_004016_20051003,2.676961339733729,[4.700792375360038],[-3.103907656599972],[0.8371480081401905],[64865],5837.209960812208
6,1.129731653105E12,2005-10-19,1_1_2_LE07_004016_20051019,2.55717675458173,[4.155317399599994],[-3.712745887119979],[0.6559226763355135],[55932],6035.036191795697
6,1.149085305169E12,2006-05-31,1_1_2_LE07_004016_20060531,2.841857108449599,[16.491867608960035],[0.8852224691599986],[0.8733246059533615],[64507],6201.916588122333
6,1.151850095669E12,2006-07-02,1_1_2_LE07_004016_20060702,4.1996041084646,[19.505754596240024],[1.1882641223600103],[1.024994362170443],[64283],5741.347044919291
6,1.158762072061E12,2006-09-20,1_1_2_LE07_004016_20060920,3.559893037581365,[9.808421693839989],[0.8163493661600114],[0.5969291786309115],[62205],7039.05052429938
6,1.161526878045E12,2006-10-22,1_1_2_LE07_004016_20061022,2.4080392365803385,[5.700829830920043],[-2.536393287880003],[0.8411581066451574],[63856],5709.6842349967155
6,1.178115728659E12,2007-05-02,1_1_2_LE07_004016_20070502,0.8951833127136247,[10.863557631800006],[-7.363020346119981],[0.6711890379990578],[65147],13546.38486977841
6,1.180880517493E12,2007-06-03,1_1_2_LE07_004016_20070603,1.5235614015243657,[18.77569970444],[0.18822666680000566],[0.8747265132378282],[64987],13552.497670994584
6,1.183645315946E12,2007-07-05,1_1_2_LE07_004016_20070705,2.9008942619376983,[18.450618658280007],[-0.6685547345199438],[1.3154128477729896],[64913],5906.540597149924
6,1.185027712508E12,2007-07-21,1_1_2_LE07_004016_20070721,3.4088445321718535,[11.833290922040021],[-0.5390733008799771],[0.8908567864921237],[64775],5704.65123142646
6,1.209910905115E12,2008-05-04,1_1_2_LE07_004016_20080504,1.527290323788602,[15.009718432400007],[-0.7870164716799763],[0.757177683256848],[65743],13524.97643137353
6,1.215440471626E12,2008-07-07,1_1_2_LE07_004016_20080707,4.138528254967622,[13.348499188039966],[0.5987103606800588],[0.7441996365192478],[60640],5744.6563983462165
6,1.216822859803E12,2008-07-23,1_1_2_LE07_004016_20080723,4.270808424987245,[15.70946915888004],[1.2516273771200304],[0.6991928841140129],[64513],5714.646719187934
6,1.21820525419E12,2008-08-08,1_1_2_LE07_004016_20080808,4.205203986690233,[10.386955759040006],[-2.7540322933599555],[2.025283857808566],[26933],6739.526194639651
6,1.219587647405E12,2008-08-24,1_1_2_LE07_004016_20080824,3.9642039092066192,[10.411750076119972],[0.6841130084000042],[0.5196890656634979],[65399],5711.533872612847
6,1.220970039478E12,2008-09-09,1_1_2_LE07_004016_20080909,3.6059422792181945,[8.367596379080055],[0.4416796858400289],[0.5070803922957149],[64967],5681.986029813367
6,1.222352430292E12,2008-09-25,1_1_2_LE07_004016_20080925,2.3949468738176045,[6.240794958440006],[-4.376682600039999],[1.3172895067813641],[65532],7248.725187037452
6,1.223734818414E12,2008-10-11,1_1_2_LE07_004016_20081011,2.6104556620745893,[5.441866963640052],[-2.2361065587999747],[0.7305511757515503],[63742],5895.698810085939
6,1.2389413198E12,2009-04-05,1_1_2_LE07_004016_20090405,-4.674931551055064,[1.659356146880043],[-12.715837911280005],[1.343550975937243],[65141],13599.976135801386
6,1.240323724287E12,2009-04-21,1_1_2_LE07_004016_20090421,-1.5158222847594116,[7.808346782720037],[-7.544845338039977],[0.9379796224487581],[64625],13539.725065936762
6,1.241706127238E12,2009-05-07,1_1_2_LE07_004016_20090507,-2.336634941611131,[8.772570224720027],[-11.74610462103999],[0.8011394862636478],[65464],13597.392894659582
6,1.248618118104E12,2009-07-26,1_1_2_LE07_004016_20090726,3.7093424099799814,[15.42020212628006],[0.8604281520800328],[0.9592938824118283],[55445],6678.681926098419
6,1.251382912334E12,2009-08-27,1_1_2_LE07_004016_20090827,4.060052156890571,[9.14723990504001],[0.8025747455600367],[0.5788794802635553],[64651],5694.175791289471
6,1.270736634868E12,2010-04-08,1_1_2_LE07_004016_20100408,-1.167999370605537,[8.48330319211999],[-9.159230872359956],[0.9656318562743714],[65304],13485.393230669672
6,1.28594303485E12,2010-10-01,1_1_2_LE07_004016_20101001,1.8112299484442156,[4.844048429600036],[-2.9689163747199814],[1.157383825084227],[57722],7859.98080048066
6,1.301149516892E12,2011-03-26,1_1_2_LE07_004016_20110326,1.2215607423768418,[9.18856376683999],[-2.1451940628400052],[0.4252340782588684],[64510],11790.058859112247
6,1.302531919186E12,2011-04-11,1_1_2_LE07_004016_20110411,-5.113457984954674,[4.576820789960038],[-13.297126900600006],[1.1194402773657415],[64684],13489.785425019752
6,1.306679117951E12,2011-05-29,1_1_2_LE07_004016_20110529,0.48341185747443416,[14.855442681680017],[-5.263768166679938],[1.4315310242175259],[57504],13394.988451798476
6,1.309443913269E12,2011-06-30,1_1_2_LE07_004016_20110630,3.7934043402625472,[15.16950403136002],[1.1799993500000596],[0.6968562163989129],[64469],5761.768581032815
6,1.313591106105E12,2011-08-17,1_1_2_LE07_004016_20110817,-6.9340072848044105,[-1.1120975178399704],[-8.622020668959976],[0.8377974254875837],[14069],13849.662767442263
6,1.314973502994E12,2011-09-02,1_1_2_LE07_004016_20110902,3.0564637620246966,[7.163694538640016],[-3.2416538626000033],[1.32534201951137],[57065],6944.251630022333
6,1.338474368282E12,2012-05-31,1_1_2_LE07_004016_20120531,2.3935781369881988,[16.607574422000027],[0.7502311872800078],[0.859323313807892],[64519],7293.45015139267
6,1.341239177466E12,2012-07-02,1_1_2_LE07_004016_20120702,4.226295450649024,[18.034625116160043],[1.433452369040026],[0.8476201768355303],[63085],6017.964720808253
6,1.342621591293E12,2012-07-18,1_1_2_LE07_004016_20120718,4.272920610315493,[17.500169836880048],[0.615239905400017],[0.9404002072979174],[63334],5684.077084665242
6,1.345386412646E12,2012-08-19,1_1_2_LE07_004016_20120819,4.916168743765013,[13.885709391440002],[0.6290145260000486],[1.3728104305956257],[63505],5725.055089612533
6,1.366122460737E12,2013-04-16,1_1_2_LE07_004016_20130416,0.5423075013731222,[8.249134641920023],[-5.927704879599958],[0.6528876728202065],[65100],13239.463972342915
6,1.373034430076E12,2013-07-05,1_1_2_LE07_004016_20130705,3.5614667725429032,[14.329252174760029],[1.0257235992800133],[0.5309643065268117],[64726],5674.9010695540455
6,1.37441682237E12,2013-07-21,1_1_2_LE07_004016_20130721,3.8830410641984736,[13.557873421160082],[0.5739160436000361],[0.9750536974209254],[42077],7915.856165277163
6,1.37718162416E12,2013-08-22,1_1_2_LE07_004016_20130822,0.9868375717613698,[5.656751045000021],[-4.985520830559949],[1.3244130088258685],[3275],9369.232803827377
6,9.36801046883E11,1999-09-08,1_1_2_LE07_005016_19990908,3.5014816733876066,[7.10584113212002],[0.04497061256000734],[0.5669285823041433],[77681],5810.041008318848
6,9.56154608717E11,2000-04-19,1_1_2_LE07_005016_20000419,1.246865415629892,[10.910391341840011],[-3.8670216378399687],[0.6051880898908756],[78507],13515.70650775152
6,9.63066565875E11,2000-07-08,1_1_2_LE07_005016_20000708,5.642924079234539,[12.293363250080006],[1.8990345453200348],[0.4856499142993105],[56156],8308.134504610978
6,9.93479234432E11,2001-06-25,1_1_2_LE07_005016_20010625,2.7725200873917606,[12.907711328840037],[-4.046091705639981],[1.175488311072749],[76464],6048.349230456167
